"Confirmed","Date","Type","Label","Address","Amount (RVN)","Asset","ID"
"true","2018-12-22T17:30:49","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.28504154","RVN","420227fc21bc9114c22abcb32a5d81f32a457631662c54842cea73e1e3ecc6a2"
"true","2018-12-21T23:21:28","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.01519086","RVN","c465fb77e08c701ab03eb83484980bbfeb56ef38e66345c3327ba525bfb5b912"
"true","2018-12-21T02:17:18","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.18618913","RVN","20ae488be6011e486dab2d0105bbddbc1e36ddadc510af41c06b68caa64f7fba"
"true","2018-12-20T20:17:33","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.72259320","RVN","38cfcc404a993527243d154b64ea3ad91a61d5ee814434285c76159e774d6b35"
"true","2018-12-19T23:10:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.13394028","RVN","620ff47af8de871a5427ad9eb3a7abfb82ddbfe180e3bd53c22135730d02f8a3"
"true","2018-12-19T17:10:24","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.60543101","RVN","8f154004bfcf853e1fc520293fd19e23edc3ebb2ae2c2ca30993dd691cf396f4"
"true","2018-12-18T23:03:35","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.40743998","RVN","6c775df3b93c70b972be49204919a60c12d13abb7441145ea4663a2508dd7394"
"true","2018-12-16T22:52:59","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.50554739","RVN","0398d750e46e52da48062eb0a026447254b7e7a7145afafc4105ef8530aba3d8"
"true","2018-12-16T10:48:46","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","3.66363794","RVN","2862a1e2306ef4a9f06bb8a60313506dc22b6219096d3b2b1c806dac40cc8cd7"
"true","2018-12-15T01:45:36","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.80561642","RVN","78295f1d98fdf820b162ababba6fa6651743a645d43672bbd238e1b7b81d6e8a"
"true","2018-12-13T01:29:07","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.06305723","RVN","90b82b7467af8bbd850750ef5061f410991934e0bd5c944cb5c755ae7b0e8d45"
"true","2018-12-11T01:18:10","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.98254751","RVN","eb927c46ceb87d44b4373cb1be08602f79fdab3fdb93641182789b9f34870da7"
"true","2018-12-09T22:09:51","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.69219420","RVN","0d3f18cb32c25f9b54c7339be70f4c4f6bc6ab8152df6bb15155d15ea559ae55"
"true","2018-12-09T10:10:14","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","4.59486983","RVN","48f2bba7762c3fd688386c4fc6efdd295740849497a17ad8ad0544a87f818ed2"
"true","2018-12-08T19:04:11","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.40232207","RVN","8713c95151154630d94d8e6ebeb5ac36481d6fc611981a2c0b94ed600f09ef69"
"true","2018-12-08T01:01:53","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.36633614","RVN","420b4a2bc6d328348d5784b168246417d5e5835b43e4c7495ffa6c7a47a089a2"
"true","2018-12-06T00:50:53","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.00593685","RVN","701aafaf92085736c0d494eb8b048bebdc5c913e86aac0b0898ccb95c837d317"
"true","2018-12-04T03:40:18","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.31560152","RVN","bd16499428a142e1694537b39dcf97404bc6d9205f7b049092c3afa927ca533a"
"true","2018-12-02T12:38:01","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","4.61603306","RVN","c6dfa1c2f4a3b6f22554bdb86bdcbb00b051b6b1bb699c2281f81949b17db4ba"
"true","2018-12-01T18:27:42","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.26218733","RVN","6777a0454d460c9f5d6df50fba6d9ba6e8abf2e312b834c7a0ab4cb83e1bbe46"
"true","2018-12-01T00:22:51","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.04352562","RVN","01970810cc183167fd5ffa943ac994d8f6c1bc46bc40db9d6c01a5692db89893"
